ID;weight;height;age;dateOfBirth;fullName;gender;smoking;drinking
LCDUM3GC;57;161;53;1964-06-25;t g;MALE;Yes;Yes
MTEGJHTR;61;191;40;1977-12-16;c o;FEMALE;Yes;No
JA2F6W7B;112;194;15;2002-05-17;t l;MALE;No;No
LADYNWVP;94;165;63;1954-06-14;j o;MALE;Yes;Yes
G0IMS7KD;95;169;47;1970-12-13;t g;MALE;No;Yes
B2LBMFUL;57;169;10;2007-09-07;a g;FEMALE;No;No
SHJYLYH2;75;162;11;2006-07-29;b g;FEMALE;No;No
JC35LGRB;51;162;30;1987-06-03;b l;FEMALE;No;Yes
HK0ANK7J;87;181;71;1946-12-20;j l;MALE;No;No
TS6GV0ZC;90;168;76;1941-05-13;k l;MALE;No;Yes
ELLGXNCN;104;188;25;1993-01-29;j g;MALE;No;Yes
ARPZK8OU;111;188;9;2008-07-18;t g;MALE;Yes;Yes
CCG0C12A;88;197;41;1976-09-20;k l;MALE;Yes;Yes
PL4ESE3X;55;183;20;1997-10-24;c g;FEMALE;Yes;Yes
KR28BTJ7;118;200;72;1945-03-01;t o;MALE;No;Yes
7MS5C41M;54;172;20;1997-10-28;a g;FEMALE;Yes;Yes
CYKZ9ISB;105;197;20;1997-04-03;j g;MALE;Yes;No
PTBX5MYM;66;162;10;2007-12-03;c o;FEMALE;No;No
8X42292I;62;167;57;1960-09-08;t o;MALE;No;Yes
YFHSXM4I;84;193;41;1976-06-21;b l;FEMALE;No;Yes
PZGLUTC8;73;165;40;1977-05-08;t o;MALE;Yes;Yes
6NFW5AHF;75;180;36;1981-07-24;b l;FEMALE;Yes;Yes
PVJDQHBL;117;189;42;1975-09-23;t g;MALE;No;No
UF7WTWSL;90;193;69;1949-01-04;j o;MALE;No;No
MEXRYGLW;78;171;42;1976-01-29;c g;FEMALE;Yes;Yes
EIVVO3PF;70;184;58;1959-10-05;j g;MALE;No;No
BHIKA6VX;111;198;52;1965-12-12;b l;FEMALE;Yes;No
T3VI6RCS;86;165;62;1955-10-08;t o;MALE;No;No
3MN66C1E;48;172;75;1942-03-20;b o;FEMALE;No;Yes
MR6T1OF6;53;181;45;1972-11-17;a o;FEMALE;Yes;No
36M0QIHC;107;183;34;1983-09-25;k g;MALE;Yes;No
MQQ4D5Q2;79;170;26;1992-01-06;t l;MALE;Yes;Yes
VFLTB1OL;77;166;14;2003-10-17;a o;FEMALE;Yes;Yes
FX0V49HO;81;180;49;1968-09-08;k o;MALE;No;Yes
P6W89MPC;77;170;31;1986-09-30;t g;MALE;No;No
94UTCZJM;80;198;42;1975-09-06;j g;MALE;Yes;No
ET57RS09;92;180;46;1971-03-17;k o;MALE;Yes;Yes
C75UG0DO;57;168;19;1998-10-12;c o;FEMALE;Yes;No
S0QNVXHS;101;198;54;1963-08-27;t o;MALE;Yes;Yes
